stream,from,to,phase,total,Ni,Co,Mn,Li,Cu,Al,other,H2O,GA,glucose,organics,Fe,SO4,Na,Ca,PO4,air,CO2,T
S-101,OSBL,V-101,dry solid,1250.0,225.0,100.0,62.5,43.75,25.0,37.5,756.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-102,V-101 vent,F-101,gas+dust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-103,W-101,T-101,dry solid,1250.0,225.0,100.0,62.5,43.75,25.0,37.5,756.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-104,Sh3/4 recycle + fresh,T-101,liquid,141.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-105,P-101,R-301,slurry,1391.056,225.0,100.0,62.5,43.75,25.0,37.5,756.25,141.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-201,V-201,T-201,liquid (syrup),6782.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.811,0.0,4844.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-202,T-201,R-201/202,liquid,35193.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30338.661,0.0,4844.528,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-203,Sh 5 condensate,tee,liquid,26730.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26730.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-204,tee,Sh 1 make-up (S-104),liquid,4009.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-205,K-201/F-202,R-201/202,gas,28863.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28863.546,0.0,25
S-206,R-201/202,atm,gas,28454.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28454.815,0.0,30
S-207,R-201A,R-201B,broth,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-208,R-201B,R-202 A/B,broth,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-209,R-202 A/B,F-201,broth,33436.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28400.849,5011.032,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-210,F-201,Sh 5 effluent,wet cake,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-211,F-201,T-202,liquid,33396.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28370.849,5011.032,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-212,P-201,R-301,liquid,33396.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28370.849,5011.032,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
S-301,V-301/W-301,R-301,dry solid,352.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.938,0.0,0.0,0.0,70.837,121.837,0.0,0.0,0.0,0.0,0.0,25
S-302,E-301 tee,R-301,slurry,34787.937,225.0,100.0,62.5,43.75,25.0,37.5,756.25,28511.905,5011.032,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
S-303,R-301,SC-301,gas,41.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.607,55
S-304,SC-301,Sh 5 effluent,liquid,91.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.607,25
S-305,R-301,T-303,slurry,35098.943,225.0,100.0,62.5,43.75,25.0,37.5,714.643,28671.843,5011.032,5.0,10.0,70.837,121.837,0.0,0.0,0.0,0.0,0.0,55
S-306,P-303,F-301,slurry,35098.943,225.0,100.0,62.5,43.75,25.0,37.5,714.643,28671.843,5011.032,5.0,10.0,70.837,121.837,0.0,0.0,0.0,0.0,0.0,55
S-307,process water,F-301,liquid,1569.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-308,F-301,Sh 6 residue bunker X-601,wet cake,1120.919,36.093,14.042,0.031,0.021,5.01,15.011,714.643,333.511,2.455,0.002,0.005,0.035,0.06,0.0,0.0,0.0,0.0,0.0,40
S-309,F-301 strong,T-301,liquid,33978.024,187.148,85.157,61.888,43.321,19.804,22.28,0.0,28390.863,4961.925,4.951,9.902,70.143,120.643,0.0,0.0,0.0,0.0,0.0,45
S-310,P-301,Sh 4 (Fe removal),liquid,33978.024,187.148,85.157,61.888,43.321,19.804,22.28,0.0,28390.863,4961.925,4.951,9.902,70.143,120.643,0.0,0.0,0.0,0.0,0.0,45
S-311,F-301 wash,T-302,liquid,1569.287,1.76,0.801,0.582,0.407,0.186,0.209,0.0,1516.756,46.652,0.047,0.093,0.659,1.134,0.0,0.0,0.0,0.0,0.0,40
S-312,P-302,Sh 1 T-101 (S-104),liquid,1569.287,1.76,0.801,0.582,0.407,0.186,0.209,0.0,1516.756,46.652,0.047,0.093,0.659,1.134,0.0,0.0,0.0,0.0,0.0,40
S-401,Sh 3 PLS,T-401,liquid,33978.024,187.148,85.157,61.888,43.321,19.804,22.28,0.0,28390.863,4961.925,4.951,9.902,70.143,120.643,0.0,0.0,0.0,0.0,0.0,45
S-402,V-401/W-401,T-401,dry solid,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,25
S-403,F-401,Cu cement product,wet cake,30.969,0.0,0.0,0.0,0.0,19.606,0.0,0.0,6.194,0.0,0.0,0.0,5.169,0.0,0.0,0.0,0.0,0.0,0.0,25
S-404,F-401,T-402,liquid,33969.455,187.148,85.157,61.888,43.321,0.198,22.28,0.0,28384.669,4961.925,4.951,9.902,87.373,120.643,0.0,0.0,0.0,0.0,0.0,45
S-405,K-401,T-402,gas,107.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.429,0.0,25
S-406,NaOH 50 %,T-402,liquid,626.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.807,0.0,0.0,0.0,0.0,0.0,228.739,0.0,0.0,0.0,0.0,25
S-407,T-402,F-402,slurry,34717.918,183.405,83.454,61.888,43.321,0.198,0.0,208.856,28810.636,4961.925,4.951,9.902,0.0,120.643,228.739,0.0,0.0,0.0,0.0,50
S-408,F-402,Sh 6 Fe/Al cake,wet cake,522.141,3.743,1.703,0.0,0.0,0.0,0.0,203.41,313.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-409,F-402,X-401 Mn SX,liquid,34195.778,183.405,83.454,61.888,43.321,0.198,0.0,0.0,28497.352,4961.925,4.951,9.902,0.0,120.643,228.739,0.0,0.0,0.0,0.0,45
S-410,NaOH 50 %,X-401,liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-411,X-401 -> X-403 (organic loop),internal,organic,27356.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27356.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-412,H2SO4 98 %,X-403,liquid,108.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165,0.0,0.0,0.0,0.0,106.043,0.0,0.0,0.0,0.0,0.0,25
S-413,X-403 strip,T-404 MnSO4 product,liquid,608.167,0.0,1.669,60.65,0.0,0.0,0.0,0.0,439.805,0.0,0.0,0.0,0.0,106.043,0.0,0.0,0.0,0.0,0.0,25
S-414,X-401 raffinate,T-405 -> Sh 5,liquid,34133.459,183.405,81.785,1.238,43.321,0.198,0.0,0.0,28497.352,4961.925,4.951,9.902,0.0,120.643,228.739,0.0,0.0,0.0,0.0,40
S-501,Sh 4 purified liquor,X-501,liquid,34133.459,183.405,81.785,1.238,43.321,0.198,0.0,0.0,28497.352,4961.925,4.951,9.902,0.0,120.643,228.739,0.0,0.0,0.0,0.0,40
S-502,NaOH 50 %,X-501,liquid,301.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.467,0.0,0.0,0.0,0.0,0.0,110.094,0.0,0.0,0.0,0.0,25
S-503,H2SO4 98 %,X-503 strip,liquid,134.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.695,0.0,0.0,0.0,0.0,131.982,0.0,0.0,0.0,0.0,0.0,25
S-504,X-503,X-504 crystalliser,liquid,811.505,1.834,80.967,0.0,0.0,0.0,0.0,0.0,596.722,0.0,0.0,0.0,0.0,131.982,0.0,0.0,0.0,0.0,0.0,25
S-505,X-504/C-501/D-501,CoSO4.7H2O product,solid,383.141,0.0,80.313,0.0,0.0,0.0,0.0,0.0,171.911,0.0,0.0,0.0,0.0,130.916,0.0,0.0,0.0,0.0,0.0,25
S-506,X-504 evaporator,condensate header,liquid,394.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-507,NaOH 50 %,X-511,liquid,414.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.896,0.0,0.0,0.0,0.0,0.0,151.165,0.0,0.0,0.0,0.0,25
S-508,H2SO4 98 %,X-513 strip,liquid,297.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.947,0.0,0.0,0.0,0.0,291.24,0.0,0.0,0.0,0.0,0.0,25
S-509,X-513,X-514 crystalliser,liquid,1779.394,177.939,0.0,0.0,0.0,0.0,0.0,0.0,1310.215,0.0,0.0,0.0,0.0,291.24,0.0,0.0,0.0,0.0,0.0,25
S-510,X-514/C-502/D-502,NiSO4.6H2O product,solid,790.548,176.503,0.0,0.0,0.0,0.0,0.0,0.0,325.157,0.0,0.0,0.0,0.0,288.888,0.0,0.0,0.0,0.0,0.0,25
S-511,X-514 evaporator,condensate header,liquid,925.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
S-512,X-511 raffinate,T-501 Li3PO4 precipitation,liquid,34588.34,3.631,0.818,1.238,43.321,0.198,0.0,0.0,28951.715,4961.925,4.951,9.902,0.0,120.643,489.998,0.0,0.0,0.0,0.0,40
S-513,E-501,condensate header,liquid,20889.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20889.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
S-514,Na3PO4,T-501,dry solid,356.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.033,0.0,206.501,0.0,0.0,25
S-515,F-501,Li3PO4 product,solid,263.216,0.0,0.0,0.0,41.155,0.0,0.0,0.0,34.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.729,0.0,0.0,25
S-516,E-501 brine,Sh 6 effluent (bleed),liquid,13792.259,3.631,0.818,1.238,2.166,0.198,0.0,0.0,8027.983,4961.925,4.951,9.902,0.0,120.643,640.031,0.0,18.773,0.0,0.0,60
